BaFoeg,452.50,Miete,366.5,Semesterbeitrag,85.00,Versicherung,89.90,Kfz-Steuer,106.00,Autoversicherung,199.65,,,Semesterbeitrag,85.00,Autoversicherung,199.65,Playstation,71.99,,,Autoversicherung,199.65,,,,
,,AOK-Versicherung,135.09,Autoversicherung,199.65,,,,,,,,,,,,,,,,,,,,,,
,,Handyflatrate,30.0,,,,,,,,,,,,,,,,,,,,,,,,
,,29 Euro Ticket,29.0,,,,,,,,,,,,,,,,,,,,,,,,
,,Spotify,10.99,,,,,,,,,,,,,,,,,,,,,,,,
,,YouTube,7.49,,,,,,,,,,,,,,,,,,,,,,,,
,,Gym,28.0,,,,,,,,,,,,,,,,,,,,,,,,
,,Wohnungssuche,19.9,,,,,,,,,,,,,,,,,,,,,,,,
