Einnahmen,Fixe Ausgaben,Geld zur Freien Verfügung,Betrag der Ausgaben,Art der Ausgabe,Datum
566.0,200.0,348.01,10,Fisch,11.09.2026
,,,5,Fleisch,11.09.2026
,,,1.79,Salat,11.09.2026
,,,1.20,Eistee,11.09.2026
,,,,,11.09.2026
