BaFoeg,566,Miete,200.0,Semesterbeitrag,97,,,,,,,,,Semesterbeitrag,97,,,,,,,,,Microsoft 365,69,,
,,AOK-Versicherung,146.29,,,,,,,,,,,,,,,,,,,,,,,,
,,Handyflatrate,30.0,,,,,,,,,,,,,,,,,,,,,,,,
,,Spotify,12.0,,,,,,,,,,,,,,,,,,,,,,,,
,,Endgeldabrechung,8.5,,,,,,,,,,,,,,,,,,,,,,,,
