Einnahmen,Fixe Ausgaben,Geld zur Freien Verfügung,Betrag der Ausgaben,Art der Ausgabe,Datum
566.0,200.0,58.55,72.23,Tanken,05.08.2026
,146.29,,15,B채cker,05.08.2026
,30.0,,5.70,B채cker,05.08.2026
,12.0,,4.74,Getr채nke,05.08.2026
,,,16.09,Edeka,05.08.2026
,,,5.40,Edeka,05.08.2026
,,,,,06.08.2026
